epoch,lr,loss,iou,dice,val_loss,val_iou,val_dice
0.0,0.0001,0.6629982471659586,0.34379131354628917,0.4242050654504313,0.48604408018183637,0.4288157635845399,0.5658579809170515
1.0,0.0001,0.4157902805449127,0.5108503264478783,0.6649244170559078,0.40508692018065057,0.5259236613822416,0.6569011993313741
2.0,0.0001,0.35470140618937357,0.5723922467335224,0.7196218982945873,0.3838752798242253,0.5005031606903093,0.6354995002138369
3.0,0.0001,0.339724521503433,0.5865067312597022,0.7306616917382166,0.351739291692158,0.5573877055932158,0.6883128283678578
4.0,0.0001,0.3297521415372173,0.5880668679757206,0.7308608636739992,0.34869618868449925,0.5283224249223558,0.6615943332959026
5.0,0.0001,0.3004868615467053,0.6251976538838812,0.7614392640017158,0.39571027881774506,0.5294327518350479,0.6600850106395589
6.0,0.0001,0.3021313790473845,0.621598530637602,0.7594780140859904,0.3888092292553238,0.5388460618408165,0.6684103437189666
7.0,0.0001,0.28281021096392883,0.6463978282457019,0.778277354719529,0.3463202090236098,0.5701901814847048,0.700658911181915
8.0,0.0001,0.2794940418188835,0.6469639308638601,0.7785326046765176,0.3356611767263079,0.5612293141403893,0.6945803856307674
9.0,0.0001,0.2688515197195403,0.6674694339152245,0.7937532801232494,0.3788398065166789,0.5205884308621855,0.6548471125450335
10.0,0.0001,0.25970731610311315,0.6688842258069021,0.7949685493918842,0.2938821992544345,0.5986231896603081,0.72474559629153
11.0,0.0001,0.24983965479708337,0.6789452828855831,0.8031154161607802,0.323663435489884,0.5947801560330807,0.7220693493446421
12.0,0.0001,0.25525457832913895,0.6768627035722051,0.8016561098228953,0.300414447310335,0.5937570890759475,0.7244976345958273
13.0,0.0001,0.25796695704293715,0.6756401273687604,0.8002308947720048,0.31924488502272785,0.5597106021527423,0.6940421757531926
14.0,0.0001,0.2502535143988086,0.68637189088469,0.8081606967044034,0.2911409228524832,0.6091014662957243,0.7357654806998907
15.0,0.0001,0.24158498785131938,0.6953156396677059,0.8153691939987224,0.2903572684878575,0.5990044308372889,0.7265468665783495
16.0,0.0001,0.2341979777851662,0.6976526397074957,0.8160768784653544,0.3056345174313182,0.5917870517901489,0.7204998812782147
